name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_convolution_cpu_par/30/200/4/iterations:3",3,8.55453e+09,7.9982e+09,ns,,,,,
"BM_convolution_cpu_par/30/200/5/iterations:3",3,1.24175e+10,1.17639e+10,ns,,,,,
"BM_convolution_cpu_par/30/200/6/iterations:3",3,1.71076e+10,1.64644e+10,ns,,,,,
"BM_convolution_cpu_par/30/200/7/iterations:3",3,2.2605e+10,2.18213e+10,ns,,,,,
"BM_convolution_cpu_par/30/200/8/iterations:3",3,2.88323e+10,2.80161e+10,ns,,,,,
"BM_convolution_cpu_par/30/200/9/iterations:3",3,3.59085e+10,3.49234e+10,ns,,,,,
"BM_convolution_cpu_par/30/200/10/iterations:3",3,4.36997e+10,4.26323e+10,ns,,,,,
"BM_convolution_cpu_par/30/200/11/iterations:3",3,5.23868e+10,5.10977e+10,ns,,,,,
"BM_convolution_cpu_par/30/300/1/iterations:3",3,1.93618e+09,1.54715e+09,ns,,,,,
"BM_convolution_cpu_par/30/300/2/iterations:3",3,4.43127e+09,3.86414e+09,ns,,,,,
"BM_convolution_cpu_par/30/300/3/iterations:3",3,8.28332e+09,7.59603e+09,ns,,,,,
"BM_convolution_cpu_par/30/300/4/iterations:3",3,1.28563e+10,1.20536e+10,ns,,,,,
"BM_convolution_cpu_par/30/300/5/iterations:3",3,1.864e+10,1.77348e+10,ns,,,,,
"BM_convolution_cpu_par/30/300/6/iterations:3",3,2.56821e+10,2.46559e+10,ns,,,,,
"BM_convolution_cpu_par/30/300/7/iterations:3",3,3.39044e+10,3.2762e+10,ns,,,,,
"BM_convolution_cpu_par/30/300/8/iterations:3",3,4.32624e+10,4.19799e+10,ns,,,,,
"BM_convolution_cpu_par/30/300/9/iterations:3",3,5.37753e+10,5.22737e+10,ns,,,,,
"BM_convolution_cpu_par/30/300/10/iterations:3",3,6.54927e+10,6.37799e+10,ns,,,,,
"BM_convolution_cpu_par/30/300/11/iterations:3",3,7.83024e+10,7.64471e+10,ns,,,,,
"BM_convolution_cpu_par/30/400/1/iterations:3",3,2.58818e+09,2.07259e+09,ns,,,,,
"BM_convolution_cpu_par/30/400/2/iterations:3",3,5.94871e+09,5.19565e+09,ns,,,,,
"BM_convolution_cpu_par/30/400/3/iterations:3",3,1.08993e+10,9.99727e+09,ns,,,,,
"BM_convolution_cpu_par/30/400/4/iterations:3",3,1.71347e+10,1.60561e+10,ns,,,,,
"BM_convolution_cpu_par/30/400/5/iterations:3",3,2.48481e+10,2.36001e+10,ns,,,,,
"BM_convolution_cpu_par/30/400/6/iterations:3",3,3.42432e+10,3.2925e+10,ns,,,,,
"BM_convolution_cpu_par/30/400/7/iterations:3",3,4.51691e+10,4.36899e+10,ns,,,,,
"BM_convolution_cpu_par/30/400/8/iterations:3",3,5.76739e+10,5.59097e+10,ns,,,,,
"BM_convolution_cpu_par/30/400/9/iterations:3",3,7.17374e+10,6.97592e+10,ns,,,,,
"BM_convolution_cpu_par/30/400/10/iterations:3",3,8.74158e+10,8.5153e+10,ns,,,,,
"BM_convolution_cpu_par/30/400/11/iterations:3",3,1.04621e+11,1.02072e+11,ns,,,,,
"BM_convolution_cpu_par/30/500/1/iterations:3",3,3.2344e+09,2.59231e+09,ns,,,,,
"BM_convolution_cpu_par/30/500/2/iterations:3",3,7.36554e+09,6.43459e+09,ns,,,,,
"BM_convolution_cpu_par/30/500/3/iterations:3",3,1.37317e+10,1.25728e+10,ns,,,,,
"BM_convolution_cpu_par/30/500/4/iterations:3",3,2.13633e+10,2.00309e+10,ns,,,,,
"BM_convolution_cpu_par/30/500/5/iterations:3",3,3.10547e+10,2.9581e+10,ns,,,,,
"BM_convolution_cpu_par/30/500/6/iterations:3",3,4.27898e+10,4.11369e+10,ns,,,,,
"BM_convolution_cpu_par/30/500/7/iterations:3",3,5.64948e+10,5.45866e+10,ns,,,,,
"BM_convolution_cpu_par/30/500/8/iterations:3",3,7.21135e+10,7.00108e+10,ns,,,,,
"BM_convolution_cpu_par/30/500/9/iterations:3",3,8.96194e+10,8.71283e+10,ns,,,,,
"BM_convolution_cpu_par/30/500/10/iterations:3",3,1.0911e+11,1.06239e+11,ns,,,,,
"BM_convolution_cpu_par/30/500/11/iterations:3",3,1.30633e+11,1.27407e+11,ns,,,,,
